	CH2500	CH2502	CH2522	F1659
PA0263.1,tRNA-Arg	2	3	11	0
PA0296-PA0297,P1	38	48	67	60
PA0826.2,ssrA	296	300	305	305
PA0836.1,P5	0	3	2	4
PA0887.1,P7	25	27	25	32
PA0976.1,tRNA-Lys	1	4	1	6
PA1030.1,P8	7	12	12	16
PA1052-PA1053,sRNA622	83	82	93	90
PA1324.1,P9	10	12	12	25
PA14_00010,dnaA	533	731	867	706
PA14_00020,dnaN	390	569	669	597
PA14_00030,recF	520	519	620	528
PA14_00050,gyrB	1008	1112	1472	1197
PA14_00060	63	108	169	127
PA14_00070	69	111	162	119
PA14_00080	16	140	26	169
PA14_00090,glyS	335	282	514	387
PA14_00100,glyQ	327	307	473	373
PA14_00110,tag	36	57	80	63
PA14_00120	216	294	345	286
PA14_00130	34	49	52	73
PA14_00140	21	15	40	64
PA14_00150	7	20	13	52
PA14_00160	57	74	86	61
PA14_00170,trkA	252	281	382	374
PA14_00180,sun	130	157	234	249
PA14_00190,fmt	61	91	178	133
PA14_00200,def	160	235	246	216
PA14_00210	402	339	385	285
PA14_00230,smf	3	4	45	22
PA14_00240	17	32	63	56
PA14_00250,qor	132	266	283	264
PA14_00280,hemF	272	284	709	359
PA14_00290,aroE	91	139	426	143
PA14_00300,plcB	98	157	84	255
PA14_00310	54	86	28	125
PA14_00320	28	69	18	72
PA14_00340	5	11	16	45
PA14_00360	7	18	35	58
PA14_00380,betC	35	59	52	152
PA14_00400	47	65	92	59
PA14_00410	15	24	32	19
PA14_00420	10	16	9	31
PA14_00430,bvga	34	41	56	128
PA14_00440,trpA	35	65	83	56
PA14_00450,trpB	227	282	280	322
PA14_00460,trpI	55	66	73	63
PA14_00470	81	137	115	186
PA14_00480	60	98	88	112
PA14_00490	72	99	299	123
PA14_00510	317	390	1150	612
PA14_00520	10	12	8	31
PA14_00530	46	32	83	88
PA14_00550	45	71	68	128
PA14_00560,exoT	600	212	225	165
PA14_00570	163	208	349	106
PA14_00580	61	78	164	44
PA14_00590	48	57	146	45
PA14_00600	10	53	13	18
PA14_00620	129	591	181	174
PA14_00630	6	59	42	37
PA14_00640,phzH	12	16	3	112
PA14_00650	3	9	8	94
PA14_00660	27	43	86	43
PA14_00670	115	166	183	200
PA14_00680	24	20	38	56
PA14_00690	12	17	11	66
PA14_00700	1	5	8	21
PA14_00710,osmC	123	128	73	357
PA14_00720	53	52	65	101
