@test|NC_008463|6537648
@Strain	Refseq_Accession	Replicon	Locus_Tag	Feature_Type	Start	Stop	Strand	Gene_Name
test	NC_008463	Chromosome	PA14_00010	gene	483	2027	+	dnaA
test	NC_008463	Chromosome	PA14_00020	gene	2056	3159	+	dnaN
test	NC_008463	Chromosome	PA14_00030	gene	3169	4278	+	recF
test	NC_008463	Chromosome	PA14_00050	gene	4275	6695	+	gyrB
test	NC_008463	Chromosome	PA14_00060	gene	7018	7791	-	
test	NC_008463	Chromosome	PA14_00070	gene	7803	8339	-	
test	NC_008463	Chromosome	PA14_00080	gene	8671	10377	+	
test	NC_008463	Chromosome	PA14_00090	gene	10434	12488	-	glyS
test	NC_008463	Chromosome	PA14_00100	gene	12488	13435	-	glyQ
test	NC_008463	Chromosome	PA14_00110	gene	13540	14091	+	tag
test	NC_008463	Chromosome	PA14_00120	gene	14236	15123	+	
test	NC_008463	Chromosome	PA14_00130	gene	15208	15474	+	
test	NC_008463	Chromosome	PA14_00140	gene	15621	16274	+	
test	NC_008463	Chromosome	PA14_00150	gene	16336	16608	-	
test	NC_008463	Chromosome	PA14_00160	gene	16923	17240	-	
test	NC_008463	Chromosome	PA14_00170	gene	17389	18762	-	trkA
test	NC_008463	Chromosome	PA14_00180	gene	18789	20093	-	sun
test	NC_008463	Chromosome	PA14_00190	gene	20090	21034	-	fmt
test	NC_008463	Chromosome	PA14_00200	gene	21088	21594	-	def
test	NC_008463	Chromosome	PA14_00210	gene	21733	22758	+	
test	NC_008463	Chromosome	PA14_00230	gene	22893	23981	+	smf
test	NC_008463	Chromosome	PA14_00240	gene	24022	24579	+	
test	NC_008463	Chromosome	PA14_00250	gene	24589	25566	-	qor
test	NC_008463	Chromosome	PA14_00280	gene	25757	26674	+	hemF
test	NC_008463	Chromosome	PA14_00290	gene	26732	27556	+	aroE
test	NC_008463	Chromosome	PA14_00300	gene	27667	28653	+	plcB
test	NC_008463	Chromosome	PA14_00310	gene	28634	29920	+	
test	NC_008463	Chromosome	PA14_00320	gene	29917	30519	+	
test	NC_008463	Chromosome	PA14_00340	gene	30523	32076	-	
test	NC_008463	Chromosome	PA14_00360	gene	32081	33004	-	
test	NC_008463	Chromosome	PA14_00380	gene	33021	34532	-	betC
test	NC_008463	Chromosome	PA14_00400	gene	34645	35559	+	
test	NC_008463	Chromosome	PA14_00410	gene	35570	35947	+	
test	NC_008463	Chromosome	PA14_00420	gene	35926	36291	-	
test	NC_008463	Chromosome	PA14_00430	gene	36299	36922	-	bvga
test	NC_008463	Chromosome	PA14_00440	gene	37108	37914	-	trpA
test	NC_008463	Chromosome	PA14_00450	gene	37911	39119	-	trpB
test	NC_008463	Chromosome	PA14_00460	gene	39223	40110	+	trpI
test	NC_008463	Chromosome	PA14_00470	gene	40211	40426	+	
test	NC_008463	Chromosome	PA14_00480	gene	40610	40837	+	
test	NC_008463	Chromosome	PA14_00490	gene	41133	42821	+	
test	NC_008463	Chromosome	PA14_00510	gene	42934	53265	+	
test	NC_008463	Chromosome	PA14_00520	gene	54577	54699	+	
test	NC_008463	Chromosome	PA14_00530	gene	54909	55304	+	
test	NC_008463	Chromosome	PA14_00550	gene	55575	56984	-	
test	NC_008463	Chromosome	PA14_00560	gene	57148	58476	+	exoT
test	NC_008463	Chromosome	PA14_00570	gene	59018	59704	+	
test	NC_008463	Chromosome	PA14_00580	gene	59735	60088	+	
test	NC_008463	Chromosome	PA14_00590	gene	60241	60750	+	
test	NC_008463	Chromosome	PA14_00600	gene	60765	61148	-	
test	NC_008463	Chromosome	PA14_00620	gene	61430	63091	-	
test	NC_008463	Chromosome	PA14_00630	gene	63701	63841	+	
test	NC_008463	Chromosome	PA14_00640	gene	64665	66497	+	phzH
test	NC_008463	Chromosome	PA14_00650	gene	66550	66978	-	
test	NC_008463	Chromosome	PA14_00660	gene	67187	67735	-	
test	NC_008463	Chromosome	PA14_00670	gene	67774	68280	-	
test	NC_008463	Chromosome	PA14_00680	gene	68346	69266	-	
test	NC_008463	Chromosome	PA14_00690	gene	69374	70261	+	
test	NC_008463	Chromosome	PA14_00700	gene	70324	71028	+	
test	NC_008463	Chromosome	PA14_00710	gene	71112	71567	+	osmC
test	NC_008463	Chromosome	PA14_00720	gene	71678	71911	+	
test	NC_008463	Chromosome	PA14_00730	gene	71923	72360	-	
test	NC_008463	Chromosome	PA14_00740	gene	72417	72833	-	
test	NC_008463	Chromosome	PA14_00750	gene	72925	74052	+	
test	NC_008463	Chromosome	PA14_00760	gene	74060	75043	-	
test	NC_008463	Chromosome	PA14_00770	gene	75076	75741	-	
