group_10297	,,group_10297
group_10296	,,group_10296
group_9132	,,group_9132
group_29879	,,group_29879
group_10290	,,group_10290
group_58297	,,group_58297
trkH_2	,,trkH_2
group_10299	,,group_10299
group_10298	,,group_10298
group_36139	,,group_36139
group_58295	,,group_58295
group_69920	,,group_69920
group_58294	,,group_58294
group_74349	,,group_74349
group_33034	,,group_33034
group_33035	,,group_33035
group_33037	,,group_33037
group_33030	,,group_33030
group_33031	,,group_33031
group_33032	,,group_33032
group_33033	,,group_33033
group_26595	,,group_26595
group_26594	,,group_26594
group_26597	,,group_26597
group_26596	,,group_26596
group_33038	,,group_33038
group_26590	,,group_26590
group_26593	,,group_26593
group_26592	,,group_26592
group_7447	PA14_19930,,group_7447
group_7446	PA14_19860,,group_7446
group_7445	PA14_19830,,group_7445
group_7444	PA14_19750,,group_7444
group_7448	PA14_19960,,group_7448
group_67652	,,group_67652
group_33336	,,group_33336
group_36070	,,group_36070
group_60647	,,group_60647
group_43394	,,group_43394
yieH_2	,,yieH_2
group_20997	,,group_20997
group_20996	,,group_20996
group_20995	,,group_20995
group_20994	,,group_20994
group_20993	,,group_20993
group_20992	,,group_20992
group_20991	,,group_20991
group_20990	,,group_20990
group_33335	,,group_33335
group_20999	,,group_20999
group_20998	,,group_20998
group_56307	,,group_56307
group_1635	,,group_1635
group_56305	,,group_56305
group_62822	,,group_62822
group_56303	,,group_56303
group_56302	,,group_56302
group_62827	,,group_62827
group_56300	,,group_56300
group_62829	,,group_62829
group_62828	,,group_62828
group_65243	,,group_65243
group_56309	,,group_56309
group_56308	,,group_56308
group_52417	,,group_52417
group_22176	,,group_22176
group_22175	,,group_22175
group_22174	,,group_22174
group_22173	,,group_22173
group_52412	,,group_52412
group_22171	,,group_22171
group_52410	,,group_52410
group_33334	,,group_33334
group_22179	,,group_22179
group_22178	,,group_22178
cmpB_1	PA14_34520,srpM,cmpB_1
cmpB_3	,,cmpB_3
cmpB_2	,,cmpB_2
cmpB_4	,,cmpB_4
group_70471	,,group_70471
oxyR_3	,,oxyR_3
oxyR_2	PA14_70560,,oxyR_2
oxyR_1	PA14_06400,,oxyR_1
group_73800	,,group_73800
group_34338	,,group_34338
group_38819	,,group_38819
group_38818	,,group_38818
group_38817	,,group_38817
group_38816	,,group_38816
group_38815	,,group_38815
group_38814	,,group_38814
group_38813	,,group_38813
group_38812	,,group_38812
group_38811	,,group_38811
group_51058	,,group_51058
group_31473	,,group_31473
group_41551	,,group_41551
pepC_1	,,pepC_1
pepC_2	,,pepC_2
group_69927	,,group_69927
group_18734	,,group_18734
group_18735	,,group_18735
group_18737	,,group_18737
group_18730	,,group_18730
group_18731	,,group_18731
group_30934	,,group_30934
group_10121	,,group_10121
